i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
318,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
319,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
320,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
321,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
322,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
323,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
324,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
325,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
326,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
327,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
328,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
329,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
330,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
331,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
332,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
333,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
334,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
335,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
336,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
337,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
338,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
339,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
340,6.258,6.258,6.258,6.258,0.83,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,0.0,0.908,0.853,1.0,8,0.5,1000,50,UX
