i,MAX_F,MIN_F,MEAN_F,MEDIAN_F,C_TONE,C_TONE_B,CADENCE,L_NOTE,I_RES,L_INT,L_DUR,CONS_R,CONS_N,PATTERN_D,PATTERN_SD,EQ_INDIV,INDIV_SIZE,L_RATE,POP_SIZE,E_SIZE,X_TYPE
0,2.896,0.405,1.213,1.066,0.617,0.25,1.0,0.294,0.2,0.0,-0.03,0.0,-0.181,0.591,0.156,0.001,8,0.5,1000,50,1X+2X
1,3.543,0.94,1.828,1.828,0.764,0.438,1.0,0.735,0.167,0.0,-0.026,0.0,-0.169,0.477,0.158,0.001,8,0.5,1000,50,1X+2X
2,3.543,1.614,2.207,2.176,0.764,0.438,1.0,0.735,0.167,0.0,-0.026,0.0,-0.169,0.477,0.158,0.001,8,0.5,1000,50,1X+2X
3,3.633,1.899,2.418,2.387,0.677,0.625,1.0,0.429,0.267,0.0,-0.0,0.0,-0.199,0.597,0.238,0.001,8,0.5,1000,50,1X+2X
4,3.633,2.102,2.593,2.546,0.677,0.625,1.0,0.429,0.267,0.0,-0.0,0.0,-0.199,0.597,0.238,0.001,8,0.5,1000,50,1X+2X
5,4.053,2.225,2.763,2.732,0.771,0.812,1.0,0.727,0.0,-0.022,-0.0,0.0,-0.182,0.76,0.186,0.001,8,0.5,1000,50,1X+2X
6,4.053,2.395,2.939,2.918,0.771,0.812,1.0,0.727,0.0,-0.022,-0.0,0.0,-0.182,0.76,0.186,0.001,8,0.5,1000,50,1X+2X
7,4.067,2.56,3.089,3.065,0.782,0.812,1.0,0.786,0.167,0.0,-0.0,0.0,-0.224,0.618,0.126,0.001,8,0.5,1000,50,1X+2X
8,4.331,2.651,3.233,3.218,0.787,0.75,1.0,0.875,0.233,0.0,-0.0,0.0,-0.259,0.651,0.294,0.001,8,0.5,1000,50,1X+2X
9,4.446,2.725,3.366,3.348,0.694,0.75,1.0,1.0,0.233,-0.02,-0.0,0.0,-0.172,0.746,0.214,0.001,8,0.5,1000,50,1X+2X
10,4.552,2.936,3.497,3.47,0.733,0.812,1.0,1.0,0.233,0.0,-0.0,0.0,-0.172,0.725,0.22,0.001,8,0.5,1000,50,1X+2X
11,4.552,3.004,3.612,3.587,0.733,0.812,1.0,1.0,0.233,0.0,-0.0,0.0,-0.172,0.725,0.22,0.001,8,0.5,1000,50,1X+2X
12,4.552,3.087,3.716,3.709,0.733,0.812,1.0,1.0,0.233,0.0,-0.0,0.0,-0.172,0.725,0.22,0.001,8,0.5,1000,50,1X+2X
13,4.552,3.173,3.818,3.804,0.733,0.812,1.0,1.0,0.233,0.0,-0.0,0.0,-0.172,0.725,0.22,0.001,8,0.5,1000,50,1X+2X
14,4.558,3.321,3.912,3.899,0.801,0.812,1.0,1.0,0.1,-0.022,-0.0,0.0,-0.242,0.816,0.293,0.001,8,0.5,1000,50,1X+2X
15,4.611,3.321,3.999,3.99,0.861,0.875,1.0,1.0,0.2,0.0,-0.0,0.0,-0.226,0.7,0.201,0.001,8,0.5,1000,50,1X+2X
16,4.717,3.417,4.08,4.071,0.732,0.875,1.0,1.0,0.3,0.0,-0.0,0.0,-0.121,0.826,0.105,0.001,8,0.5,1000,50,1X+2X
17,4.724,3.495,4.152,4.144,0.882,1.0,1.0,1.0,0.267,0.0,-0.0,0.0,-0.183,0.59,0.168,0.001,8,0.5,1000,50,1X+2X
18,4.772,3.718,4.223,4.221,0.748,0.812,1.0,1.0,0.3,0.0,-0.0,0.0,-0.188,0.751,0.348,0.001,8,0.5,1000,50,1X+2X
19,4.772,3.764,4.286,4.283,0.748,0.812,1.0,1.0,0.3,0.0,-0.0,0.0,-0.188,0.751,0.348,0.001,8,0.5,1000,50,1X+2X
20,4.848,3.764,4.344,4.342,0.824,1.0,1.0,1.0,0.167,0.0,-0.0,0.0,-0.101,0.783,0.176,0.001,8,0.5,1000,50,1X+2X
21,4.863,3.764,4.404,4.397,0.757,0.875,1.0,1.0,0.333,0.0,-0.0,0.0,-0.182,0.727,0.353,0.001,8,0.5,1000,50,1X+2X
22,5.108,3.92,4.459,4.456,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
23,5.108,3.928,4.507,4.5,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
24,5.108,4.134,4.557,4.555,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
25,5.108,4.197,4.601,4.597,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
26,5.108,4.272,4.65,4.646,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
27,5.108,4.361,4.693,4.696,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
28,5.108,4.361,4.732,4.732,0.838,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.056,0.926,0.134,0.001,8,0.5,1000,50,1X+2X
29,5.139,4.422,4.768,4.766,0.812,1.0,1.0,1.0,0.433,0.0,-0.0,0.0,-0.128,0.893,0.128,0.001,8,0.5,1000,50,1X+2X
30,5.207,4.422,4.805,4.798,0.794,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.109,0.9,0.356,0.001,8,0.5,1000,50,1X+2X
31,5.207,4.489,4.833,4.828,0.794,1.0,1.0,0.9,0.367,0.0,-0.0,0.0,-0.109,0.9,0.356,0.001,8,0.5,1000,50,1X+2X
32,5.283,4.489,4.864,4.861,0.713,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.15,0.878,0.241,0.001,8,0.5,1000,50,1X+2X
33,5.283,4.489,4.897,4.896,0.713,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.15,0.878,0.241,0.001,8,0.5,1000,50,1X+2X
34,5.283,4.586,4.928,4.928,0.713,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.15,0.878,0.241,0.001,8,0.5,1000,50,1X+2X
35,5.302,4.653,4.959,4.957,0.582,1.0,1.0,1.0,0.667,0.0,-0.0,0.0,-0.106,0.926,0.234,0.001,8,0.5,1000,50,1X+2X
36,5.33,4.722,4.985,4.981,0.669,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.155,0.957,0.392,0.001,8,0.5,1000,50,1X+2X
37,5.33,4.722,5.009,5.006,0.669,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.155,0.957,0.392,0.001,8,0.5,1000,50,1X+2X
38,5.33,4.738,5.035,5.035,0.669,1.0,1.0,1.0,0.467,0.0,-0.0,0.0,-0.155,0.957,0.392,0.001,8,0.5,1000,50,1X+2X
39,5.36,4.738,5.06,5.057,0.632,1.0,1.0,1.0,0.633,0.0,-0.0,0.0,-0.106,0.909,0.292,0.001,8,0.5,1000,50,1X+2X
40,5.36,4.765,5.083,5.081,0.632,1.0,1.0,1.0,0.633,0.0,-0.0,0.0,-0.106,0.909,0.292,0.001,8,0.5,1000,50,1X+2X
41,5.389,4.765,5.107,5.104,0.765,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.143,0.867,0.367,0.001,8,0.5,1000,50,1X+2X
42,5.389,4.765,5.13,5.13,0.765,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.143,0.867,0.367,0.001,8,0.5,1000,50,1X+2X
43,5.389,4.912,5.147,5.144,0.765,1.0,1.0,1.0,0.533,0.0,-0.0,0.0,-0.143,0.867,0.367,0.001,8,0.5,1000,50,1X+2X
44,5.465,4.912,5.165,5.165,0.776,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.15,0.876,0.396,0.001,8,0.5,1000,50,1X+2X
45,5.465,4.97,5.184,5.183,0.776,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.15,0.876,0.396,0.001,8,0.5,1000,50,1X+2X
46,5.465,4.97,5.202,5.202,0.776,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.15,0.876,0.396,0.001,8,0.5,1000,50,1X+2X
47,5.465,5.001,5.219,5.22,0.776,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.15,0.876,0.396,0.001,8,0.5,1000,50,1X+2X
48,5.465,5.005,5.235,5.233,0.776,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.15,0.876,0.396,0.002,8,0.5,1000,50,1X+2X
49,5.465,5.019,5.251,5.248,0.776,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.15,0.876,0.396,0.002,8,0.5,1000,50,1X+2X
50,5.472,5.019,5.266,5.262,0.776,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.139,0.955,0.38,0.001,8,0.5,1000,50,1X+2X
51,5.472,5.019,5.28,5.274,0.776,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.139,0.955,0.38,0.001,8,0.5,1000,50,1X+2X
52,5.529,5.019,5.292,5.289,0.821,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.143,0.843,0.408,0.001,8,0.5,1000,50,1X+2X
53,5.529,5.019,5.306,5.302,0.821,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.143,0.843,0.408,0.001,8,0.5,1000,50,1X+2X
54,5.529,5.019,5.321,5.323,0.821,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.143,0.843,0.408,0.002,8,0.5,1000,50,1X+2X
55,5.624,5.125,5.333,5.332,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
56,5.624,5.145,5.344,5.342,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
57,5.624,5.151,5.355,5.351,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
58,5.624,5.153,5.365,5.363,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
59,5.624,5.153,5.376,5.375,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
60,5.624,5.153,5.386,5.385,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
61,5.624,5.205,5.395,5.394,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
62,5.624,5.205,5.404,5.405,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
63,5.624,5.264,5.412,5.411,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.843,0.599,0.001,8,0.5,1000,50,1X+2X
64,5.625,5.264,5.422,5.421,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
65,5.625,5.283,5.431,5.429,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
66,5.625,5.283,5.438,5.436,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
67,5.625,5.283,5.447,5.445,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
68,5.625,5.283,5.455,5.454,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
69,5.625,5.283,5.463,5.46,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
70,5.625,5.283,5.471,5.468,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
71,5.625,5.283,5.477,5.476,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
72,5.625,5.283,5.485,5.483,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
73,5.625,5.283,5.491,5.492,0.714,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.098,0.831,0.612,0.001,8,0.5,1000,50,1X+2X
74,5.626,5.283,5.498,5.5,0.694,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.143,0.98,0.528,0.001,8,0.5,1000,50,1X+2X
75,5.626,5.302,5.505,5.504,0.694,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.143,0.98,0.528,0.001,8,0.5,1000,50,1X+2X
76,5.627,5.302,5.511,5.511,0.624,1.0,1.0,1.0,0.567,-0.02,-0.0,0.0,-0.016,0.93,0.542,0.001,8,0.5,1000,50,1X+2X
77,5.627,5.359,5.516,5.517,0.624,1.0,1.0,1.0,0.567,-0.02,-0.0,0.0,-0.016,0.93,0.542,0.001,8,0.5,1000,50,1X+2X
78,5.627,5.364,5.523,5.526,0.624,1.0,1.0,1.0,0.567,-0.02,-0.0,0.0,-0.016,0.93,0.542,0.001,8,0.5,1000,50,1X+2X
79,5.702,5.366,5.528,5.528,0.707,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.021,0.922,0.527,0.001,8,0.5,1000,50,1X+2X
80,5.702,5.366,5.533,5.537,0.707,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.021,0.922,0.527,0.001,8,0.5,1000,50,1X+2X
81,5.702,5.366,5.539,5.546,0.707,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.021,0.922,0.527,0.001,8,0.5,1000,50,1X+2X
82,5.702,5.366,5.545,5.554,0.707,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,-0.021,0.922,0.527,0.001,8,0.5,1000,50,1X+2X
83,5.719,5.366,5.55,5.557,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
84,5.719,5.366,5.555,5.558,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
85,5.719,5.366,5.559,5.56,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
86,5.719,5.366,5.563,5.565,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
87,5.719,5.366,5.567,5.576,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
88,5.719,5.366,5.571,5.58,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
89,5.719,5.397,5.574,5.58,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
90,5.719,5.397,5.578,5.58,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
91,5.719,5.425,5.581,5.58,0.657,1.0,1.0,1.0,0.6,0.0,-0.0,0.0,-0.021,0.977,0.506,0.001,8,0.5,1000,50,1X+2X
92,5.745,5.425,5.585,5.586,0.676,1.0,1.0,1.0,0.567,0.0,-0.0,0.0,0.0,0.937,0.565,0.001,8,0.5,1000,50,1X+2X
93,5.838,5.425,5.588,5.586,0.765,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.143,0.954,0.761,0.001,8,0.5,1000,50,1X+2X
94,5.838,5.425,5.591,5.589,0.765,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.143,0.954,0.761,0.001,8,0.5,1000,50,1X+2X
95,5.853,5.453,5.595,5.595,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.001,8,0.5,1000,50,1X+2X
96,5.853,5.453,5.597,5.597,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.001,8,0.5,1000,50,1X+2X
97,5.853,5.453,5.601,5.598,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.001,8,0.5,1000,50,1X+2X
98,5.853,5.453,5.603,5.602,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.001,8,0.5,1000,50,1X+2X
99,5.853,5.453,5.607,5.605,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.001,8,0.5,1000,50,1X+2X
100,5.853,5.453,5.61,5.608,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.001,8,0.5,1000,50,1X+2X
101,5.853,5.476,5.614,5.608,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.002,8,0.5,1000,50,1X+2X
102,5.853,5.496,5.617,5.612,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.002,8,0.5,1000,50,1X+2X
103,5.853,5.497,5.622,5.612,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.003,8,0.5,1000,50,1X+2X
104,5.853,5.497,5.626,5.613,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.923,0.624,0.003,8,0.5,1000,50,1X+2X
105,5.887,5.497,5.63,5.616,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
106,5.887,5.515,5.633,5.624,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
107,5.887,5.518,5.637,5.625,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
108,5.887,5.518,5.641,5.629,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
109,5.887,5.533,5.646,5.633,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
110,5.887,5.533,5.65,5.637,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
111,5.887,5.545,5.654,5.644,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
112,5.887,5.545,5.659,5.644,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
113,5.887,5.545,5.663,5.648,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
114,5.887,5.56,5.669,5.657,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
115,5.887,5.56,5.675,5.664,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
116,5.887,5.56,5.681,5.666,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.001,8,0.5,1000,50,1X+2X
117,5.887,5.56,5.688,5.676,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.003,8,0.5,1000,50,1X+2X
118,5.887,5.561,5.696,5.681,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.004,8,0.5,1000,50,1X+2X
119,5.887,5.575,5.703,5.686,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.004,8,0.5,1000,50,1X+2X
120,5.887,5.575,5.71,5.698,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.943,0.639,0.004,8,0.5,1000,50,1X+2X
121,5.895,5.575,5.717,5.709,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
122,5.895,5.58,5.724,5.719,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
123,5.895,5.586,5.731,5.733,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
124,5.895,5.586,5.739,5.747,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
125,5.895,5.595,5.746,5.752,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
126,5.895,5.595,5.753,5.765,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
127,5.895,5.595,5.759,5.77,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
128,5.895,5.595,5.766,5.78,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.001,8,0.5,1000,50,1X+2X
129,5.895,5.595,5.772,5.791,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.002,8,0.5,1000,50,1X+2X
130,5.895,5.595,5.779,5.799,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.002,8,0.5,1000,50,1X+2X
131,5.895,5.595,5.787,5.8,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.003,8,0.5,1000,50,1X+2X
132,5.895,5.595,5.793,5.809,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.003,8,0.5,1000,50,1X+2X
133,5.895,5.595,5.799,5.815,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.003,8,0.5,1000,50,1X+2X
134,5.895,5.608,5.806,5.819,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.004,8,0.5,1000,50,1X+2X
135,5.895,5.608,5.81,5.826,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.005,8,0.5,1000,50,1X+2X
136,5.895,5.608,5.816,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.005,8,0.5,1000,50,1X+2X
137,5.895,5.608,5.82,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.006,8,0.5,1000,50,1X+2X
138,5.895,5.608,5.824,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.008,8,0.5,1000,50,1X+2X
139,5.895,5.608,5.827,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.008,8,0.5,1000,50,1X+2X
140,5.895,5.608,5.83,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.009,8,0.5,1000,50,1X+2X
141,5.895,5.612,5.834,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.012,8,0.5,1000,50,1X+2X
142,5.895,5.612,5.836,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.012,8,0.5,1000,50,1X+2X
143,5.895,5.612,5.839,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.012,8,0.5,1000,50,1X+2X
144,5.895,5.612,5.842,5.838,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.821,0.016,8,0.5,1000,50,1X+2X
145,5.901,5.644,5.844,5.838,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.127,8,0.5,1000,50,1X+2X
146,5.901,5.644,5.847,5.838,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.143,8,0.5,1000,50,1X+2X
147,5.901,5.644,5.849,5.844,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.154,8,0.5,1000,50,1X+2X
148,5.901,5.644,5.851,5.853,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.173,8,0.5,1000,50,1X+2X
149,5.901,5.644,5.854,5.857,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.187,8,0.5,1000,50,1X+2X
150,5.901,5.644,5.856,5.862,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.206,8,0.5,1000,50,1X+2X
151,5.901,5.644,5.858,5.862,0.693,1.0,1.0,1.0,0.633,-0.02,-0.0,0.0,0.0,0.956,0.639,0.226,8,0.5,1000,50,1X+2X
152,5.904,5.644,5.86,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.001,8,0.5,1000,50,1X+2X
153,5.904,5.644,5.862,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.001,8,0.5,1000,50,1X+2X
154,5.904,5.644,5.864,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.001,8,0.5,1000,50,1X+2X
155,5.904,5.644,5.866,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.001,8,0.5,1000,50,1X+2X
156,5.904,5.644,5.868,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.002,8,0.5,1000,50,1X+2X
157,5.904,5.644,5.869,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.003,8,0.5,1000,50,1X+2X
158,5.904,5.644,5.87,5.862,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.004,8,0.5,1000,50,1X+2X
159,5.904,5.644,5.872,5.887,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.004,8,0.5,1000,50,1X+2X
160,5.904,5.644,5.873,5.887,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.004,8,0.5,1000,50,1X+2X
161,5.904,5.644,5.875,5.887,0.687,1.0,1.0,1.0,0.5,0.0,-0.0,0.0,-0.071,0.958,0.831,0.004,8,0.5,1000,50,1X+2X
